"teamid","lloc","count"
3101,"N",7
3101,"H",16
3101,"A",40
3102,"H",229
3102,"A",281
3102,"N",25
3103,"A",223
3103,"N",22
3103,"H",167
3104,"H",111
3104,"N",56
3104,"A",184
3105,"H",128
3105,"N",20
3105,"A",238
3106,"A",222
3106,"H",99
3106,"N",25
3107,"H",112
3107,"N",17
3107,"A",180
3108,"N",40
3108,"A",248
3108,"H",93
3110,"A",179
3110,"N",16
3110,"H",113
3111,"H",136
3111,"A",217
3111,"N",28
3112,"H",127
3112,"A",192
3112,"N",24
3113,"N",25
3113,"A",137
3113,"H",80
3114,"H",88
3114,"A",162
3114,"N",16
3115,"A",316
3115,"H",138
3115,"N",16
3116,"H",109
3116,"A",164
3116,"N",26
3117,"N",27
3117,"H",92
3117,"A",202
3119,"A",180
3119,"H",116
3119,"N",9
3120,"N",50
3120,"H",82
3120,"A",153
3122,"N",21
3122,"A",218
3122,"H",130
3123,"N",27
3123,"A",163
3123,"H",110
3124,"H",35
3124,"A",84
3124,"N",9
3125,"H",74
3125,"A",145
3125,"N",22
3126,"A",193
3126,"N",39
3126,"H",132
3127,"H",118
3127,"N",23
3127,"A",178
3128,"N",6
3128,"H",33
3128,"A",51
3129,"H",109
3129,"N",15
3129,"A",184
3130,"H",118
3130,"A",172
3130,"N",23
3131,"A",206
3131,"N",16
3131,"H",132
3132,"N",24
3132,"A",159
3132,"H",93
3133,"H",118
3133,"N",54
3133,"A",208
3135,"N",26
3135,"A",197
3135,"H",160
3136,"H",69
3136,"A",118
3136,"N",9
3137,"N",10
3137,"A",179
3137,"H",97
3138,"A",189
3138,"H",135
3138,"N",23
3139,"N",26
3139,"H",127
3139,"A",192
3140,"N",25
3140,"H",64
3140,"A",137
3141,"A",203
3141,"H",110
3141,"N",24
3142,"A",209
3142,"H",127
3142,"N",16
3143,"N",17
3143,"A",162
3143,"H",126
3144,"A",189
3144,"H",114
3144,"N",18
3145,"N",20
3145,"H",148
3145,"A",227
3146,"H",57
3146,"N",11
3146,"A",105
3147,"A",156
3147,"N",12
3147,"H",115
3148,"A",245
3148,"H",154
3148,"N",17
3149,"H",141
3149,"A",237
3149,"N",25
3150,"N",32
3150,"H",83
3150,"A",173
3151,"A",105
3151,"H",68
3151,"N",16
3152,"A",268
3152,"N",28
3152,"H",187
3153,"A",166
3153,"H",125
3153,"N",25
3155,"N",29
3155,"H",159
3155,"A",193
3156,"N",19
3156,"H",128
3156,"A",218
3157,"H",98
3157,"N",36
3157,"A",188
3158,"H",165
3158,"A",231
3158,"N",21
3159,"A",280
3159,"H",157
3159,"N",15
3160,"A",186
3160,"N",20
3160,"H",130
3161,"N",23
3161,"A",169
3161,"H",104
3162,"N",15
3162,"H",164
3162,"A",230
3163,"A",25
3163,"H",17
3163,"N",2
3164,"N",41
3164,"A",232
3164,"H",87
3165,"H",140
3165,"A",214
3165,"N",9
3166,"A",168
3166,"N",32
3166,"H",75
3167,"N",18
3167,"H",62
3167,"A",102
3168,"N",18
3168,"H",193
3168,"A",252
3169,"N",18
3169,"H",163
3169,"A",215
3170,"H",177
3170,"N",27
3170,"A",260
3171,"H",130
3171,"N",13
3171,"A",191
3172,"H",118
3172,"A",198
3172,"N",25
3173,"H",92
3173,"N",30
3173,"A",151
3174,"H",86
3174,"N",20
3174,"A",146
3175,"H",130
3175,"A",249
3175,"N",32
3176,"H",119
3176,"N",30
3176,"A",199
3177,"H",67
3177,"N",22
3177,"A",121
3178,"A",232
3178,"H",156
3178,"N",22
3179,"A",142
3179,"H",84
3179,"N",22
3180,"H",92
3180,"A",174
3180,"N",27
3181,"H",36
3181,"A",83
3181,"N",14
3182,"H",102
3182,"N",21
3182,"A",165
3183,"A",232
3183,"H",135
3183,"N",21
3184,"H",123
3184,"N",31
3184,"A",196
3185,"A",173
3185,"N",22
3185,"H",116
3186,"N",30
3186,"H",130
3186,"A",212
3187,"H",112
3187,"N",37
3187,"A",191
3188,"A",122
3188,"H",62
3188,"N",15
3189,"H",117
3189,"A",194
3189,"N",27
3190,"H",106
3190,"N",23
3190,"A",216
3191,"H",153
3191,"A",236
3191,"N",24
3192,"H",165
3192,"A",250
3192,"N",15
3193,"A",175
3193,"N",27
3193,"H",109
3194,"H",153
3194,"A",214
3194,"N",27
3195,"N",16
3195,"A",33
3195,"H",13
3196,"N",23
3196,"A",162
3196,"H",122
3197,"H",105
3197,"A",215
3197,"N",46
3198,"H",169
3198,"A",170
3198,"N",15
3199,"N",22
3199,"H",92
3199,"A",125
3200,"H",153
3200,"A",222
3200,"N",24
3201,"A",163
3201,"H",92
3201,"N",16
3202,"A",214
3202,"N",22
3202,"H",104
3203,"N",20
3203,"A",138
3203,"H",87
3204,"A",213
3204,"N",32
3204,"H",146
3205,"A",178
3205,"N",33
3205,"H",97
3206,"N",17
3206,"A",221
3206,"H",145
3207,"H",129
3207,"A",185
3207,"N",30
3208,"N",25
3208,"A",117
3208,"H",65
3209,"A",182
3209,"H",148
3209,"N",24
3210,"H",107
3210,"N",27
3210,"A",149
3211,"N",31
3211,"H",71
3211,"A",116
3212,"N",27
3212,"A",230
3212,"H",86
3213,"A",52
3213,"H",33
3213,"N",9
3214,"H",75
3214,"N",26
3214,"A",164
3216,"H",108
3216,"A",180
3216,"N",17
3217,"H",72
3217,"A",140
3217,"N",21
3218,"N",24
3218,"A",134
3218,"H",156
3219,"H",101
3219,"N",18
3219,"A",181
3220,"A",199
3220,"N",31
3220,"H",137
3221,"H",114
3221,"N",19
3221,"A",174
3222,"A",194
3222,"H",140
3222,"N",31
3223,"A",138
3223,"H",95
3223,"N",14
3224,"A",217
3224,"H",104
3224,"N",38
3225,"H",112
3225,"N",38
3225,"A",193
3226,"A",190
3226,"H",94
3226,"N",21
3227,"A",224
3227,"N",15
3227,"H",164
3228,"H",149
3228,"N",27
3228,"A",193
3229,"H",141
3229,"N",26
3229,"A",191
3230,"A",81
3230,"N",9
3230,"H",52
3231,"N",26
3231,"H",122
3231,"A",182
3232,"H",115
3232,"A",186
3232,"N",27
3233,"A",221
3233,"N",25
3233,"H",148
3234,"A",140
3234,"H",83
3234,"N",26
3235,"N",21
3235,"H",63
3235,"A",148
3236,"N",16
3236,"A",210
3236,"H",124
3237,"N",25
3237,"A",209
3237,"H",105
3238,"H",92
3238,"N",25
3238,"A",208
3239,"H",108
3239,"N",18
3239,"A",190
3240,"A",238
3240,"N",22
3240,"H",138
3241,"A",119
3241,"N",24
3241,"H",58
3242,"N",20
3242,"H",146
3242,"A",198
3243,"N",37
3243,"A",145
3243,"H",95
3244,"A",168
3244,"N",16
3244,"H",94
3245,"A",183
3245,"H",96
3245,"N",30
3246,"H",94
3246,"A",152
3246,"N",21
3247,"A",218
3247,"H",160
3247,"N",21
3248,"N",24
3248,"A",275
3248,"H",178
3249,"A",210
3249,"N",12
3249,"H",109
3250,"H",126
3250,"A",169
3250,"N",16
3251,"N",31
3251,"H",52
3251,"A",103
3252,"A",225
3252,"H",158
3252,"N",14
3253,"A",202
3253,"H",135
3253,"N",20
3254,"H",165
3254,"N",21
3254,"A",206
3255,"H",106
3255,"A",204
3255,"N",24
3256,"A",131
3256,"H",75
3256,"N",19
3257,"N",27
3257,"H",43
3257,"A",122
3258,"N",26
3258,"A",197
3258,"H",145
3259,"A",231
3259,"N",14
3259,"H",137
3260,"H",185
3260,"N",20
3260,"A",247
3261,"N",20
3261,"A",129
3261,"H",66
3262,"A",89
3262,"H",53
3262,"N",9
3263,"N",43
3263,"H",96
3263,"A",181
3264,"N",13
3264,"A",210
3264,"H",165
3265,"A",132
3265,"N",19
3265,"H",97
3266,"H",91
3266,"N",25
3266,"A",145
