"teamid","state","city","number"
3101,"TX","Abilene",55
3101,"TX","Arlington",1
3101,"TX","Beaumont",1
3101,"WA","Cheney",1
3101,"AR","Conway",3
3101,"TX","Corpus Christi",3
3101,"TX","El Paso",2
3101,"OH","Fairborn",1
3101,"LA","Hammond",5
3101,"TX","Houston",5
3101,"TX","Huntsville",6
3101,"MO","Kansas City",2
3101,"TX","Katy",3
3101,"LA","Lake Charles",3
3101,"NM","Las Cruces",1
3101,"NV","Las Vegas",1
3101,"TX","Lubbock",2
3101,"ID","Moscow",1
3101,"TX","Nacogdoches",2
3101,"LA","Natchitoches",2
3101,"LA","New Orleans",2
3101,"OR","Portland",1
3101,"TX","San Antonio",6
3101,"LA","Thibodaux",4
3101,"CO","USAF Academy",2
3101,"KS","Wichita",1
3102,"NM","Albuquerque",1
3102,"NJ","Hackensack",1
3102,"NV","Las Vegas",2
3102,"PA","Lewisburg",1
3102,"UT","Logan",1
3102,"TN","Nashville",1
3102,"NV","Reno",1
3102,"CA","San Diego",3
3102,"CA","San Jose",2
3102,"TX","San Marcos",1
3102,"CO","USAF Academy",33
3102,"NY","West Point",1
3103,"OH","Akron",90
3103,"OH","Athens",3
3103,"GA","Atlanta",1
3103,"OH","Bowling Green",4
3103,"NY","Buffalo",9
3103,"IL","Chicago",2
3103,"OH","Cleveland",8
3103,"TN","Cookeville",1
3103,"TX","Dallas",1
3103,"FL","Daytona Beach",1
3103,"IL","DeKalb",4
3103,"CO","Denver",2
3103,"MI","Detroit",1
3103,"VA","Fairfax",1
3103,"FL","Fort Myers",2
3103,"NC","Greensboro",1
3103,"KY","Highland Heights",1
3103,"IN","Indianapolis",1
3103,"NJ","Jersey City",1
3103,"MI","Kalamazoo",2
3103,"OH","Kent",6
3103,"NV","Las Vegas",2
3103,"MI","Mt. Pleasant",1
3103,"IN","Muncie",3
3103,"NY","Olean",1
3103,"FL","Orlando",1
3103,"OH","Oxford",5
3103,"RI","Providence",1
3103,"KY","Richmond",1
3103,"SC","Rock Hill",1
3103,"PR","San Juan",2
3103,"WA","Seattle",2
3103,"OH","Toledo",2
3103,"IN","Valparaiso",1
3103,"OH","Youngstown",2
3103,"MI","Ypsilanti",5
3104,"GA","Athens",1
3104,"AL","Auburn",3
3104,"VA","Charlottesville",1
3104,"SC","Clemson",1
3104,"TX","College Station",1
3104,"AR","Conway",2
3104,"TX","Corpus Christi",1
3104,"TX","Dallas",1
3104,"GA","Duluth",1
3104,"AR","Fayetteville",3
3104,"BA","Freeport",1
3104,"FL","Gainesville",2
3104,"SC","Greenville",3
3104,"MS","Hattiesburg",1
3104,"HI","Honolulu",3
3104,"TX","Houston",1
3104,"TN","Knoxville",1
3104,"NV","Las Vegas",1
3104,"KS","Lawrence",3
3104,"KY","Lexington",1
3104,"AL","Mobile",1
3104,"AL","Montgomery",1
3104,"CA","Moraga",1
3104,"TN","Nashville",3
3104,"LA","New Orleans",1
3104,"FL","Niceville",2
3104,"FL","Orlando",2
3104,"MS","Oxford",5
3104,"NV","Reno",2
3104,"CA","San Luis Obispo",1
3104,"VI","St. Thomas",2
3104,"MS","Starkville",2
3104,"GA","Statesboro",2
3104,"AL","Troy",1
3104,"AL","Tuscaloosa",104
3105,"GA","Atlanta",2
3105,"LA","Baton Rouge",2
3105,"AL","Birmingham",1
3105,"LA","Bossier City",1
3105,"TN","Clarksville",1
3105,"CO","Denver",1
3105,"LA","Grambling",2
3105,"MS","Greenville",1
3105,"MS","Greenwood",2
3105,"LA","Hammond",1
3105,"TX","Houston",4
3105,"AL","Huntsville",8
3105,"MS","Itta Bena",5
3105,"MS","Jackson",2
3105,"FL","Jacksonville",2
3105,"MS","Lorman",3
3105,"FL","Miami",1
3105,"AL","Montgomery",6
3105,"KY","Murray",1
3105,"TN","Nashville",2
3105,"AL","Normal",50
3105,"AR","Pine Bluff",6
3105,"TX","Prairie View",1
3105,"CA","San Diego",1
3105,"FL","Tallahassee",1
3106,"GA","Atlanta",1
3106,"LA","Baton Rouge",1
3106,"AL","Birmingham",1
3106,"LA","Bossier City",2
3106,"IL","Carbondale",1
3106,"FL","Gainesville",1
3106,"LA","Grambling",3
3106,"MS","Greenwood",2
3106,"TX","Houston",10
3106,"AL","Huntsville",1
3106,"MS","Itta Bena",4
3106,"MS","Jackson",3
3106,"FL","Jacksonville",1
3106,"MS","Lorman",4
3106,"AL","Montgomery",67
3106,"AL","Normal",4
3106,"AR","Pine Bluff",8
3106,"TX","Prairie View",4
3106,"FL","Tallahassee",1
3106,"LA","Thibodaux",1
3107,"NY","Albany",115
3107,"MD","Baltimore",6
3107,"ME","Bangor",2
3107,"MA","Boston",5
3107,"NY","Bronx",1
3107,"NY","Brooklyn Heights",2
3107,"NY","Buffalo",3
3107,"VT","Burlington",7
3107,"DE","Dover",1
3107,"NH","Durham",7
3107,"CT","Fairfield",1
3107,"CA","Fullerton",1
3107,"NY","Hamilton",1
3107,"NH","Hanover",1
3107,"MI","Kalamazoo",1
3107,"RI","Kingston",2
3107,"CA","Long Beach",1
3107,"CA","Los Angeles",1
3107,"MA","Lowell",6
3107,"CA","Malibu",1
3107,"CT","New Britain",2
3107,"NY","New York",1
3107,"NJ","Newark",2
3107,"NY","Niagara Falls",1
3107,"ME","Orono",4
3107,"PA","Philadelphia",1
3107,"ME","Portland",3
3107,"RI","Providence",2
3107,"NY","Riverdale",2
3107,"NY","Staten Island",2
3107,"NY","Stony Brook",8
3107,"NY","Syracuse",1
3107,"PR","Trujillo Alto",2
3107,"PA","University Park",1
3107,"NY","Vestal",11
