"teamid","state","city","number"
3101,"TX","Abilene","19"
3101,"TX","Beaumont","3"
3101,"TX","College Station","1"
3101,"AR","Conway","3"
3101,"TX","Corpus Christi","3"
3101,"TX","Dallas","1"
3101,"TX","Denton","2"
3101,"AR","Fayetteville","1"
3101,"FL","Fort Myers","1"
3101,"TX","Fort Worth","1"
3101,"LA","Hammond","2"
3101,"TX","Katy","1"
3101,"LA","Lake Charles","1"
3101,"NV","Las Vegas","1"
3101,"TX","Lubbock","4"
3101,"KS","Manhattan","2"
3101,"TX","Nacogdoches","4"
3101,"LA","Natchitoches","2"
3101,"LA","New Orleans","1"
3101,"OK","Norman","1"
3101,"TX","San Antonio","4"
3101,"LA","Thibodaux","1"
3101,"OK","Tulsa","2"
3101,"TX","Waco","2"
3101,"KS","Wichita","1"
3102,"TX","Abilene","1"
3102,"NM","Albuquerque","9"
3102,"IA","Ames","2"
3102,"MD","Annapolis","5"
3102,"CA","Bakersfield","1"
3102,"ID","Boise","9"
3102,"MA","Boston","1"
3102,"CO","Boulder","1"
3102,"UT","Cedar City","1"
3102,"NC","Chapel Hill","1"
3102,"WA","Cheney","1"
3102,"TX","Corpus Christi","2"
3102,"CA","Davis","1"
3102,"CO","Denver","5"
3102,"IA","Des Moines","1"
3102,"IL","Edwardsville","2"
3102,"OR","Eugene","1"
3102,"VA","Fairfax","1"
3102,"VA","Farmville","1"
3102,"CO","Fort Collins","9"
3102,"TX","Fort Worth","3"
3102,"CA","Fresno","6"
3102,"CA","Fullerton","1"
3102,"ND","Grand Forks","1"
3102,"CO","Greeley","4"
3102,"FL","Jacksonville","2"
3102,"TN","Knoxville","1"
3102,"WY","Laramie","10"
3102,"NV","Las Vegas","21"
3102,"UT","Logan","6"
3102,"CA","Long Beach","1"
3102,"TN","Martin","1"
3102,"FL","Miami","1"
3102,"MN","Minneapolis","2"
3102,"TN","Nashville","1"
3102,"UT","Ogden","2"
3102,"NE","Omaha","1"
3102,"UT","Orem","2"
3102,"ID","Pocatello","2"
3102,"OR","Portland","2"
3102,"UT","Provo","2"
3102,"NV","Reno","7"
