"teamid","state","sum"
3101,"TX","3677"
3101,"WA","886"
3101,"OH","2143"
3101,"OR","670"
3101,"NM","366"
3101,"NV","887"
3101,"MO","692"
3101,"LA","1730"
3101,"CO","820"
3101,"ID","431"
3101,"AR","928"
3101,"KS","555"
3102,"TN","1944"
3102,"TX","3677"
3102,"NM","366"
3102,"CO","820"
3102,"NV","887"
3102,"PA","2219"
3102,"CA","3936"
3102,"NY","3492"
3102,"UT","890"
3102,"NJ","1257"
3103,"VA","2153"
3103,"IL","2092"
3103,"RI","622"
3103,"TN","1944"
3103,"MI","1067"
3103,"OH","2143"
3103,"NY","3492"
3103,"NV","887"
3103,"KY","1069"
3103,"CO","820"
3103,"FL","2438"
3103,"SC","1673"
3103,"NJ","1257"
3103,"PR","75"
3103,"TX","3677"
3103,"IN","1694"
3103,"GA","1146"
3103,"NC","2999"
3103,"WA","886"
3104,"HI","272"
3104,"TX","3677"
3104,"VI","118"
3104,"CA","3936"
3104,"AR","928"
3104,"TN","1944"
3104,"NV","887"
3104,"AL","1336"
3104,"LA","1730"
3104,"SC","1673"
3104,"KS","555"
3104,"KY","1069"
3104,"GA","1146"
3104,"MS","846"
3104,"BA","109"
3104,"VA","2153"
3104,"FL","2438"
3105,"FL","2438"
3105,"MS","846"
3105,"KY","1069"
3105,"CA","3936"
3105,"CO","820"
3105,"GA","1146"
3105,"LA","1730"
3105,"TN","1944"
3105,"AR","928"
3105,"TX","3677"
3105,"AL","1336"
3106,"AL","1336"
3106,"FL","2438"
3106,"LA","1730"
3106,"AR","928"
3106,"MS","846"
3106,"GA","1146"
3106,"IL","2092"
3106,"TX","3677"
3107,"NJ","1257"
3107,"DE","285"
3107,"CA","3936"
3107,"MD","1401"
3107,"NY","3492"
3107,"NH","289"
3107,"VT","159"
3107,"CT","1268"
3107,"MI","1067"
3107,"PR","75"
3107,"ME","168"
3107,"PA","2219"
3107,"MA","1030"
3107,"RI","622"
3108,"TN","1944"
3108,"AR","928"
3108,"MS","846"
3108,"LA","1730"
3108,"AL","1336"
3108,"TX","3677"
3110,"VT","159"
3110,"OK","710"
3110,"MA","1030"
3110,"HI","272"
3110,"PA","2219"
3110,"MD","1401"
3110,"VA","2153"
3110,"NJ","1257"
3110,"RI","622"
3110,"TX","3677"
3110,"CA","3936"
3110,"DC","580"
3110,"NV","887"
3110,"FL","2438"
3110,"NC","2999"
3110,"AL","1336"
3110,"OH","2143"
3110,"NY","3492"
3110,"NH","289"
3111,"FL","2438"
3111,"WV","335"
3111,"NC","2999"
3111,"TN","1944"
3111,"GA","1146"
3111,"AR","928"
3111,"SC","1673"
3111,"IL","2092"
3111,"LA","1730"
3111,"PA","2219"
3111,"TX","3677"
3111,"AL","1336"
3111,"OH","2143"
3111,"VA","2153"
3112,"VA","2153"
3112,"AZ","600"
3112,"MS","846"
3112,"NY","3492"
3112,"OR","670"
3112,"NV","887"
3112,"MX","165"
3112,"TX","3677"
3112,"HI","272"
3112,"CA","3936"
