"teamid","state","sum"
3101,"KS",555
3101,"OK",710
3101,"NV",887
3101,"AR",928
3101,"TX",3677
3101,"LA",1730
3101,"FL",2438
3102,"NE",428
3102,"TX",3677
3102,"MI",1067
3102,"NC",2999
3102,"MD",1401
3102,"CA",3936
3102,"UT",890
3102,"MN",197
3102,"NY",3492
3102,"TN",1944
3102,"WA",886
3102,"NV",887
3102,"ID",431
3102,"ND",263
3102,"AZ",600
3102,"MA",1030
3102,"OR",670
3102,"IA",697
3102,"AL",1336
3102,"KS",555
3102,"WY",142
3102,"VA",2153
3102,"CO",820
3102,"NM",366
3102,"FL",2438
3102,"IL",2092
3103,"OH",2143
3103,"NY",3492
3103,"GA",1146
3103,"PA",2219
3103,"TX",3677
3103,"IN",1694
3103,"IL",2092
3103,"MI",1067
3103,"FL",2438
3103,"CA",3936
3104,"NV",887
3104,"NE",428
3104,"TN",1944
3104,"CT",1268
3104,"DC",580
3104,"BA",109
3104,"CA",3936
3104,"AZ",600
3104,"UT",890
3104,"AL",1336
3104,"KS",555
3104,"LA",1730
3104,"VI",118
3104,"SC",1673
3104,"GA",1146
3104,"KY",1069
3104,"FL",2438
3104,"NC",2999
3104,"MS",846
3104,"WI",664
3104,"VA",2153
3104,"AR",928
3104,"TX",3677
3105,"MO",692
3105,"NE",428
3105,"IL",2092
3105,"SC",1673
3105,"AL",1336
3105,"GA",1146
3105,"KS",555
3105,"OH",2143
3105,"IN",1694
3105,"FL",2438
3105,"WV",335
3105,"KY",1069
3105,"TN",1944
3105,"NV",887
3105,"TX",3677
3105,"AR",928
3105,"AZ",600
3105,"CO",820
3105,"CA",3936
3105,"LA",1730
3105,"MS",846
3105,"NC",2999
3106,"NC",2999
3106,"TN",1944
3106,"FL",2438
3106,"MS",846
3106,"KY",1069
3106,"IL",2092
3106,"SC",1673
3106,"TX",3677
3106,"WI",664
3106,"NY",3492
3106,"IA",697
3106,"LA",1730
3106,"AR",928
3106,"GA",1146
3106,"OH",2143
3106,"AL",1336
3107,"NJ",1257
3107,"CA",3936
3107,"KY",1069
3107,"OH",2143
3107,"NE",428
3107,"VT",159
3107,"TN",1944
3107,"CT",1268
3107,"NH",289
3107,"NY",3492
3107,"IN",1694
3107,"DE",285
3107,"LA",1730
3107,"MI",1067
3107,"IA",697
3107,"PA",2219
3107,"NC",2999
3107,"MD",1401
3107,"ME",168
3107,"MA",1030
3107,"TX",3677
3107,"RI",622
3107,"FL",2438
3108,"TN",1944
3108,"MS",846
3108,"MI",1067
3108,"NE",428
3108,"VA",2153
3108,"AL",1336
3108,"FL",2438
3108,"IL",2092
3108,"AR",928
3108,"WI",664
3108,"TX",3677
3108,"PA",2219
3108,"IA",697
3108,"GA",1146
3108,"HI",272
3108,"KS",555
3108,"NM",366
3108,"KY",1069
3108,"NC",2999
3108,"AZ",600
3108,"LA",1730
3108,"OK",710
3108,"CO",820
3108,"MN",197
3110,"CO",820
3110,"VT",159
3110,"HI",272
3110,"NY",3492
3110,"VA",2153
3110,"DC",580
3110,"PA",2219
3110,"CT",1268
3110,"IA",697
3110,"OH",2143
3110,"DE",285
3110,"CA",3936
3110,"MI",1067
3110,"NJ",1257
3110,"FL",2438
3110,"MD",1401
3110,"TX",3677
3110,"NC",2999
3110,"MA",1030
3111,"MI",1067
3111,"TX",3677
3111,"WV",335
3111,"AL",1336
3111,"MT",310
3111,"GA",1146
3111,"FL",2438
3111,"AR",928
3111,"PA",2219
3111,"NC",2999
3111,"KY",1069
3111,"SC",1673
3111,"OH",2143
3111,"TN",1944
3111,"VA",2153
3111,"MD",1401
3111,"IL",2092
3111,"LA",1730
3112,"NY",3492
3112,"CA",3936
3112,"HI",272
3112,"FL",2438
3112,"AZ",600
3112,"WA",886
3112,"GA",1146
3112,"PR",75
3112,"UT",890
3112,"MX",165
3112,"NV",887
3112,"AL",1336
3112,"BA",109
3112,"KS",555
3112,"CO",820
3112,"OR",670
3112,"TX",3677
3113,"MN",197
3113,"NC",2999
3113,"OH",2143
3113,"FL",2438
3113,"IL",2092
3113,"NV",887
3113,"MX",165
3113,"HI",272
3113,"BA",109
3113,"UT",890
3113,"TX",3677
3113,"SC",1673
3113,"CO",820
3113,"TN",1944
3113,"WI",664
3113,"CA",3936
3113,"WA",886
3113,"PR",75
3113,"AZ",600
3113,"OR",670
3114,"AZ",600
3114,"TN",1944
3114,"AR",928
3114,"WA",886
3114,"NY",3492
3114,"OR",670
3114,"WI",664
3114,"MO",692
3114,"MS",846
3114,"KS",555
3114,"KY",1069
3114,"CA",3936
3114,"AL",1336
3114,"LA",1730
3114,"GA",1146
3114,"FL",2438
3114,"OK",710
3114,"SD",352
3114,"TX",3677
3115,"NV",887
3115,"IN",1694
3115,"LA",1730
3115,"WA",886
3115,"AR",928
3115,"NY",3492
3115,"AL",1336
3115,"NE",428
3115,"SC",1673
3115,"TX",3677
3115,"MN",197
3115,"OR",670
3115,"KY",1069
3115,"OK",710
3115,"MS",846
3115,"OH",2143
3115,"CA",3936
3115,"PR",75
3115,"SD",352
3115,"IA",697
3115,"KS",555
3115,"IL",2092
3115,"TN",1944
3115,"WI",664
3115,"AZ",600
3116,"IA",697
3116,"AL",1336
3116,"MS",846
3116,"AZ",600
3116,"NV",887
3116,"LA",1730
3116,"SC",1673
3116,"HI",272
3116,"SD",352
3116,"NE",428
3116,"IN",1694
3116,"MO",692
3116,"CA",3936
3116,"GA",1146
3116,"AR",928
3116,"TN",1944
3116,"PR",75
3116,"IL",2092
3116,"FL",2438
3116,"KS",555
3116,"TX",3677
3116,"OK",710
3116,"KY",1069
3116,"NJ",1257
3117,"AL",1336
3117,"NC",2999
3117,"NV",887
3117,"IL",2092
3117,"AR",928
3117,"MO",692
3117,"GA",1146
3117,"IA",697
3117,"TN",1944
3117,"CA",3936
3117,"AZ",600
3117,"PA",2219
3117,"TX",3677
3117,"IN",1694
3117,"KY",1069
3117,"OK",710
3117,"KS",555
3117,"CO",820
3117,"LA",1730
3117,"MS",846
3117,"NE",428
3117,"SC",1673
3117,"NJ",1257
3117,"OH",2143
3117,"MX",165
3117,"FL",2438
3119,"NY",3492
3119,"CT",1268
3119,"TX",3677
3119,"AZ",600
3119,"RI",622
3119,"GA",1146
3119,"NJ",1257
3119,"WI",664
3119,"MA",1030
3119,"AL",1336
3119,"NV",887
3119,"PA",2219
3119,"NC",2999
3119,"DC",580
3119,"MD",1401
3119,"MN",197
3119,"OH",2143
3120,"AR",928
3120,"NV",887
3120,"FL",2438
3120,"IN",1694
3120,"PA",2219
3120,"SC",1673
3120,"VA",2153
3120,"CA",3936
3120,"NY",3492
3120,"WI",664
3120,"LA",1730
3120,"BA",109
3120,"GA",1146
3120,"CO",820
3120,"KY",1069
3120,"NC",2999
3120,"AL",1336
3120,"TX",3677
3120,"TN",1944
3120,"MS",846
3120,"KS",555
3120,"MN",197
3122,"AR",928
3122,"KY",1069
3122,"KS",555
3122,"MT",310
3122,"MO",692
3122,"TN",1944
3122,"CA",3936
3122,"IL",2092
3122,"OH",2143
3122,"GA",1146
3122,"PA",2219
3122,"IN",1694
3122,"MS",846
3122,"TX",3677
3122,"FL",2438
3122,"AL",1336
3123,"GA",1146
3123,"BA",109
3123,"CO",820
3123,"PA",2219
3123,"KY",1069
3123,"MO",692
3123,"IL",2092
3123,"MI",1067
3123,"ND",263
3123,"WY",142
3123,"IN",1694
3123,"FL",2438
3123,"WI",664
3123,"TN",1944
3123,"MX",165
3123,"NV",887
3123,"NC",2999
3123,"WV",335
3123,"OH",2143
3123,"AR",928
3123,"NY",3492
3124,"TX",3677
3124,"VI",118
3124,"KY",1069
3124,"TN",1944
3124,"HI",272
3124,"AR",928
3124,"MO",692
3124,"CA",3936
3124,"KS",555
3124,"IA",697
3124,"IN",1694
3124,"OK",710
3124,"CT",1268
3125,"WI",664
3125,"CO",820
3125,"MO",692
3125,"MN",197
3125,"LA",1730
3125,"GA",1146
3125,"MS",846
3125,"FL",2438
3125,"TX",3677
3125,"OH",2143
3125,"OK",710
3125,"NV",887
3125,"AZ",600
3125,"KY",1069
3125,"TN",1944
3125,"PR",75
3125,"IN",1694
3125,"SC",1673
3125,"CA",3936
3125,"AR",928
3125,"AL",1336
3125,"NC",2999
3125,"IL",2092
3126,"TX",3677
3126,"IN",1694
3126,"FL",2438
3126,"MD",1401
3126,"DC",580
3126,"LA",1730
3126,"DE",285
3126,"NC",2999
3126,"GA",1146
3126,"AL",1336
3126,"OH",2143
3126,"VA",2153
3126,"SC",1673
3127,"WI",664
3127,"PA",2219
3127,"FL",2438
3127,"MI",1067
3127,"AK",17
3127,"ME",168
3127,"RI",622
3127,"NH",289
3127,"AZ",600
3127,"CT",1268
3127,"NJ",1257
3127,"MA",1030
3127,"OH",2143
3127,"NY",3492
3127,"VT",159
3127,"IN",1694
3127,"MN",197
3127,"TN",1944
3127,"NM",366
3127,"MD",1401
3129,"SD",352
3129,"KY",1069
3129,"AK",17
3129,"ID",431
3129,"TN",1944
3129,"OR",670
3129,"HI",272
3129,"UT",890
3129,"NM",366
3129,"WY",142
3129,"LA",1730
3129,"WA",886
3129,"CO",820
3129,"CA",3936
3129,"NY",3492
3129,"TX",3677
3129,"NV",887
3130,"GA",1146
3130,"AZ",600
3130,"NY",3492
3130,"FL",2438
3130,"CO",820
3130,"PA",2219
3130,"CT",1268
3130,"NJ",1257
3130,"MD",1401
3130,"BA",109
3130,"CA",3936
3130,"IL",2092
3130,"SC",1673
3130,"OH",2143
3130,"RI",622
3130,"WA",886
3130,"MI",1067
3130,"VA",2153
3130,"WI",664
3130,"MA",1030
3130,"NH",289
3130,"NC",2999
3130,"ME",168
3130,"IN",1694
3130,"KY",1069
3130,"UT",890
3130,"PR",75
3130,"MN",197
3130,"MX",165
3131,"NH",289
3131,"MA",1030
3131,"CT",1268
3131,"AZ",600
3131,"VA",2153
3131,"VT",159
3131,"NY",3492
3131,"MD",1401
3131,"KY",1069
3131,"TX",3677
3131,"DC",580
3131,"WV",335
3131,"NM",366
3131,"PA",2219
3131,"RI",622
3131,"CA",3936
3131,"MI",1067
3132,"NE",428
3132,"IL",2092
3132,"CT",1268
3132,"VA",2153
3132,"FL",2438
3132,"MI",1067
3132,"NC",2999
3132,"NY",3492
3132,"SD",352
3132,"IN",1694
3132,"CA",3936
3132,"SC",1673
3132,"KY",1069
3132,"NV",887
3132,"BC",21
3132,"OH",2143
3133,"AZ",600
3133,"IA",697
3133,"KY",1069
3133,"OK",710
3133,"OH",2143
3133,"MO",692
3133,"IL",2092
3133,"AR",928
3133,"NE",428
3133,"CO",820
3133,"NY",3492
3133,"KS",555
3133,"IN",1694
3133,"NV",887
3133,"WI",664
3133,"MX",165
3133,"MI",1067
3133,"FL",2438
3133,"SC",1673
3135,"NY",3492
3135,"MD",1401
3135,"VA",2153
3135,"NJ",1257
3135,"FL",2438
3135,"PA",2219
3135,"ME",168
3135,"GA",1146
3135,"IL",2092
3135,"VT",159
3135,"MA",1030
3135,"NH",289
3135,"RI",622
3135,"CT",1268
3135,"IA",697
3136,"VT",159
3136,"NJ",1257
3136,"NH",289
3136,"PA",2219
3136,"MD",1401
3136,"CT",1268
3136,"MN",197
3136,"IL",2092
3136,"FL",2438
3136,"RI",622
3136,"NV",887
3136,"CO",820
3136,"WV",335
3136,"ME",168
3136,"VA",2153
3136,"NY",3492
3136,"OH",2143
3136,"MA",1030
3137,"MI",1067
3137,"MD",1401
3137,"VA",2153
3137,"NJ",1257
3137,"SC",1673
3137,"WV",335
3137,"IA",697
3137,"MA",1030
3137,"NC",2999
3137,"IN",1694
3137,"CT",1268
3137,"PA",2219
3137,"DC",580
3137,"DE",285
3137,"OH",2143
3137,"NY",3492
3138,"MX",165
3138,"OR",670
3138,"IN",1694
3138,"DC",580
3138,"IA",697
3138,"NC",2999
3138,"PA",2219
3138,"OH",2143
3138,"AZ",600
3138,"IL",2092
3138,"DE",285
3138,"MI",1067
3138,"NY",3492
3138,"RI",622
3138,"FL",2438
3138,"ME",168
3138,"CA",3936
3138,"CT",1268
3139,"IL",2092
3139,"MI",1067
3139,"HI",272
3139,"PA",2219
3139,"IA",697
3139,"KY",1069
3139,"FL",2438
3139,"TN",1944
3139,"TX",3677
3139,"DC",580
3139,"AR",928
3139,"NJ",1257
3139,"NE",428
3139,"MX",165
3139,"CA",3936
3139,"IN",1694
3139,"OH",2143
3139,"NC",2999
3139,"WI",664
3139,"NY",3492
3139,"RI",622
3139,"MN",197
3139,"NV",887
3139,"SC",1673
3140,"CA",3936
3140,"OK",710
3140,"NV",887
3140,"SD",352
3140,"NM",366
3140,"AZ",600
3140,"HI",272
3140,"FL",2438
3140,"TX",3677
3140,"NC",2999
3140,"GA",1146
3140,"KS",555
3140,"IL",2092
3140,"UT",890
3140,"WA",886
3140,"WY",142
3140,"MA",1030
3140,"ID",431
3140,"CO",820
3140,"NE",428
3141,"PA",2219
3141,"LA",1730
3141,"MI",1067
3141,"WA",886
3141,"OH",2143
3141,"KY",1069
3141,"AZ",600
3141,"TN",1944
3141,"CA",3936
3141,"IL",2092
3141,"SD",352
3141,"FL",2438
3141,"IA",697
3141,"WI",664
3141,"AK",17
3141,"IN",1694
3141,"VI",118
3141,"AL",1336
3141,"MN",197
3141,"NY",3492
3142,"HI",272
3142,"CT",1268
3142,"MN",197
3142,"CA",3936
3142,"TX",3677
3142,"MT",310
3142,"UT",890
3142,"OR",670
3142,"LA",1730
3142,"NM",366
3142,"CO",820
3142,"NY",3492
3142,"AZ",600
3142,"IL",2092
3142,"NV",887
3142,"OK",710
3142,"WA",886
3143,"UT",890
3143,"DC",580
3143,"OH",2143
3143,"NV",887
3143,"NY",3492
3143,"NC",2999
3143,"AZ",600
3143,"IN",1694
3143,"NJ",1257
3143,"CT",1268
3143,"CO",820
3143,"TX",3677
3143,"SC",1673
3143,"HI",272
3143,"CA",3936
3143,"NM",366
3143,"LA",1730
3143,"MA",1030
3143,"WA",886
3143,"OR",670
3143,"KS",555
3144,"NC",2999
3144,"TN",1944
3144,"KS",555
3144,"SC",1673
3144,"MA",1030
3144,"NY",3492
3144,"FL",2438
3144,"GA",1146
3144,"DC",580
3144,"VA",2153
3144,"MD",1401
3144,"LA",1730
3145,"TX",3677
3145,"CT",1268
3145,"PA",2219
3145,"NJ",1257
3145,"FL",2438
3145,"MI",1067
3145,"VT",159
3145,"MD",1401
3145,"RI",622
3145,"CA",3936
3145,"NY",3492
3145,"WI",664
3145,"OH",2143
3145,"KY",1069
3145,"MA",1030
3146,"KS",555
3146,"AL",1336
3146,"TX",3677
3146,"KY",1069
3146,"GA",1146
3146,"IN",1694
3146,"TN",1944
3146,"BA",109
3146,"MS",846
3146,"OK",710
3146,"IL",2092
3146,"LA",1730
3146,"AR",928
3147,"MI",1067
3147,"TX",3677
3147,"MS",846
3147,"SD",352
3147,"LA",1730
3147,"IL",2092
3147,"MO",692
3147,"IN",1694
3147,"UT",890
3147,"ND",263
3147,"OK",710
3148,"TX",3677
3148,"ME",168
3148,"FL",2438
3148,"VT",159
3148,"NJ",1257
3148,"PA",2219
3148,"MA",1030
3148,"NH",289
3148,"CT",1268
3148,"WV",335
3148,"MD",1401
3148,"NY",3492
3148,"VA",2153
3148,"RI",622
3149,"WV",335
3149,"GA",1146
3149,"VA",2153
3149,"SC",1673
3149,"FL",2438
3149,"TX",3677
3149,"NC",2999
3150,"AR",928
3150,"UT",890
3150,"OH",2143
3150,"FL",2438
3150,"NV",887
3150,"NY",3492
3150,"VA",2153
3150,"MS",846
3150,"CA",3936
3150,"MA",1030
3150,"BA",109
3150,"GA",1146
3150,"KS",555
3150,"NC",2999
3150,"SC",1673
3150,"TN",1944
3150,"MN",197
3150,"KY",1069
3150,"TX",3677
3150,"OK",710
3150,"MX",165
3150,"MD",1401
3150,"WV",335
3150,"IN",1694
3150,"AL",1336
3150,"MO",692
3150,"LA",1730
3150,"PA",2219
3150,"WI",664
3151,"SD",352
3151,"SC",1673
3151,"OH",2143
3151,"MS",846
3151,"VA",2153
3151,"KY",1069
3151,"AZ",600
3151,"MX",165
3151,"NY",3492
3151,"CA",3936
3151,"TX",3677
3151,"CO",820
3151,"WI",664
3151,"AL",1336
3151,"NC",2999
3151,"HI",272
3151,"GA",1146
3151,"IN",1694
3151,"TN",1944
3151,"CT",1268
3151,"MA",1030
3151,"FL",2438
3151,"AR",928
3152,"CO",820
3152,"KY",1069
3152,"OH",2143
3152,"IN",1694
3152,"AZ",600
3152,"MI",1067
3152,"IA",697
3152,"AR",928
3152,"TN",1944
3152,"ID",431
3152,"UT",890
3152,"NE",428
3152,"NM",366
3152,"TX",3677
3152,"SD",352
3152,"KS",555
3152,"NV",887
3152,"WI",664
3152,"IL",2092
3152,"PA",2219
3152,"MO",692
3152,"CA",3936
3152,"NC",2999
3152,"VA",2153
3152,"ND",263
3152,"WA",886
3152,"NJ",1257
3152,"MD",1401
3153,"IL",2092
3153,"NY",3492
3153,"TN",1944
3153,"NV",887
3153,"RI",622
3153,"FL",2438
3153,"HI",272
3153,"CA",3936
3153,"KY",1069
3153,"NC",2999
3153,"NJ",1257
3153,"GA",1146
3153,"PR",75
3153,"PA",2219
3153,"IN",1694
3153,"MI",1067
3153,"BA",109
3153,"CT",1268
3153,"OH",2143
3153,"WI",664
3153,"TX",3677
3153,"WV",335
3153,"DC",580
3153,"OK",710
3153,"IA",697
3153,"LA",1730
3155,"IN",1694
3155,"DC",580
3155,"IA",697
3155,"AL",1336
3155,"NY",3492
3155,"TN",1944
3155,"VI",118
3155,"MS",846
3155,"PA",2219
3155,"BA",109
3155,"NV",887
3155,"MD",1401
3155,"RI",622
3155,"CT",1268
3155,"MI",1067
3155,"OR",670
3155,"VA",2153
3155,"FL",2438
3155,"SC",1673
3155,"ME",168
3155,"NC",2999
3155,"TX",3677
3155,"MA",1030
3155,"GA",1146
3155,"KY",1069
3156,"FL",2438
3156,"LA",1730
3156,"OH",2143
3156,"NY",3492
3156,"TN",1944
3156,"SD",352
3156,"IN",1694
3156,"WV",335
3156,"WI",664
3156,"MX",165
3156,"MS",846
3156,"KY",1069
3156,"NV",887
3156,"MI",1067
3156,"MD",1401
3156,"NC",2999
3156,"VA",2153
3156,"CA",3936
3156,"MN",197
3156,"IL",2092
3156,"PA",2219
3157,"NC",2999
3157,"AR",928
3157,"FL",2438
3157,"IN",1694
3157,"CA",3936
3157,"WA",886
3157,"PA",2219
3157,"GA",1146
3157,"PR",75
3157,"VA",2153
3157,"LA",1730
3157,"AL",1336
3157,"WV",335
3157,"SC",1673
3157,"TX",3677
3158,"MD",1401
3158,"DE",285
3158,"ID",431
3158,"MI",1067
3158,"NY",3492
3158,"GA",1146
3158,"AL",1336
3158,"OH",2143
3158,"PA",2219
3158,"VA",2153
3158,"TN",1944
3158,"SC",1673
3158,"KY",1069
3158,"LA",1730
3158,"NC",2999
3158,"CT",1268
3158,"TX",3677
3158,"FL",2438
3158,"MA",1030
3159,"GA",1146
3159,"CO",820
3159,"OH",2143
3159,"NC",2999
3159,"AL",1336
3159,"VT",159
3159,"WA",886
3159,"CT",1268
3159,"AZ",600
3159,"NY",3492
3159,"CA",3936
3159,"PA",2219
3159,"MA",1030
3159,"IN",1694
3159,"NH",289
3159,"DC",580
3159,"NJ",1257
3159,"IL",2092
3159,"VA",2153
3159,"MI",1067
3159,"MO",692
3159,"MD",1401
3159,"RI",622
3160,"CA",3936
3160,"AZ",600
3160,"WA",886
3160,"OK",710
3160,"UT",890
3160,"WY",142
3160,"FL",2438
3160,"IA",697
3160,"KS",555
3160,"KY",1069
3160,"MN",197
3160,"AR",928
3160,"MO",692
3160,"OR",670
3160,"NV",887
3160,"CO",820
3160,"NE",428
3160,"TX",3677
3160,"NC",2999
3161,"NV",887
3161,"AZ",600
3161,"IA",697
3161,"NM",366
3161,"NY",3492
3161,"WA",886
3161,"TX",3677
3161,"CA",3936
3161,"HI",272
3161,"ID",431
3161,"OK",710
3161,"NE",428
3161,"IN",1694
3161,"PA",2219
3161,"OH",2143
3161,"FL",2438
3161,"TN",1944
3161,"MT",310
3161,"CO",820
3161,"WY",142
3161,"MX",165
3161,"UT",890
3161,"SC",1673
3162,"WI",664
3162,"MA",1030
3162,"MD",1401
3162,"MX",165
3162,"HI",272
3162,"IA",697
3162,"CA",3936
3162,"NJ",1257
3162,"TX",3677
3162,"PA",2219
3162,"NY",3492
3162,"VT",159
3162,"CT",1268
3162,"NV",887
3162,"NC",2999
3162,"AZ",600
3162,"NH",289
3162,"IL",2092
3162,"TN",1944
3162,"RI",622
3162,"OR",670
3162,"VA",2153
3163,"SC",1673
3163,"IN",1694
3163,"OH",2143
3163,"CO",820
3163,"TX",3677
3163,"KY",1069
3163,"CA",3936
3163,"FL",2438
3163,"CT",1268
3164,"SD",352
3164,"NC",2999
3164,"DE",285
3164,"VA",2153
3164,"MD",1401
3164,"OH",2143
3164,"TN",1944
3164,"CT",1268
3164,"GA",1146
3164,"OK",710
3164,"SC",1673
3164,"MO",692
3164,"DC",580
3164,"PA",2219
3164,"TX",3677
3164,"AR",928
3164,"NJ",1257
3164,"CA",3936
3164,"FL",2438
3164,"MN",197
3164,"WV",335
3164,"NY",3492
3164,"MS",846
3165,"MD",1401
3165,"VA",2153
3165,"RI",622
3165,"NY",3492
3165,"MI",1067
3165,"CO",820
3165,"NJ",1257
3165,"CA",3936
3165,"NH",289
3165,"MN",197
3165,"WA",886
3165,"TX",3677
3165,"CT",1268
3165,"MA",1030
3165,"SD",352
3165,"WV",335
3165,"PA",2219
3165,"DC",580
3165,"IL",2092
3166,"WI",664
3166,"DC",580
3166,"RI",622
3166,"NV",887
3166,"CA",3936
3166,"FL",2438
3166,"BA",109
3166,"IA",697
3166,"OH",2143
3166,"AZ",600
3166,"CT",1268
3166,"SD",352
3166,"TX",3677
3166,"PA",2219
3166,"NE",428
3166,"NC",2999
3166,"TN",1944
3166,"KS",555
3166,"NJ",1257
3166,"IN",1694
3166,"MN",197
3166,"MO",692
3166,"OK",710
3166,"OR",670
3166,"IL",2092
3166,"UT",890
3166,"NY",3492
3167,"HI",272
3167,"CA",3936
