"teamid","teamname","season","total_won_home","total_games","percent_won"
3101,"Abilene Chr",2015,"6","13","46.15"
3101,"Abilene Chr",2016,"10","22","45.45"
3101,"Abilene Chr",2017,"11","19","57.89"
3101,"Abilene Chr",2018,"8","12","66.67"
3101,"Abilene Chr",2019,"7","19","36.84"
3101,"Abilene Chr",2020,"10","20","50.00"
3102,"Air Force",1998,"3","4","75.00"
3102,"Air Force",1999,"1","4","25.00"
3102,"Air Force",2000,"3","3","100.00"
3102,"Air Force",2001,"2","3","66.67"
3102,"Air Force",2002,"2","3","66.67"
3102,"Air Force",2003,"3","6","50.00"
3102,"Air Force",2004,"1","1","100.00"
3102,"Air Force",2005,"2","6","33.33"
3102,"Air Force",2006,"5","11","45.45"
3102,"Air Force",2007,"3","6","50.00"
3102,"Air Force",2008,"5","8","62.50"
3102,"Air Force",2009,"2","2","100.00"
3102,"Air Force",2010,"1","1","100.00"
3102,"Air Force",2011,"7","8","87.50"
3102,"Air Force",2012,"3","6","50.00"
3102,"Air Force",2013,"4","4","100.00"
3102,"Air Force",2014,"1","1","100.00"
3102,"Air Force",2015,"2","2","100.00"
3102,"Air Force",2016,"1","1","100.00"
3102,"Air Force",2017,"2","4","50.00"
3102,"Air Force",2018,"3","6","50.00"
3102,"Air Force",2019,"6","7","85.71"
3102,"Air Force",2020,"3","9","33.33"
3103,"Akron",1998,"8","11","72.73"
3103,"Akron",1999,"10","16","62.50"
3103,"Akron",2000,"5","11","45.45"
3103,"Akron",2001,"2","6","33.33"
3103,"Akron",2003,"1","2","50.00"
3103,"Akron",2004,"5","7","71.43"
3103,"Akron",2005,"2","3","66.67"
3103,"Akron",2006,"2","5","40.00"
3103,"Akron",2007,"7","10","70.00"
3103,"Akron",2008,"4","7","57.14"
3103,"Akron",2009,"8","11","72.73"
3103,"Akron",2010,"11","17","64.71"
3103,"Akron",2011,"6","13","46.15"
3103,"Akron",2012,"9","14","64.29"
3103,"Akron",2013,"12","22","54.55"
3103,"Akron",2014,"13","22","59.09"
3103,"Akron",2015,"12","21","57.14"
3103,"Akron",2016,"10","18","55.56"
3103,"Akron",2017,"1","7","14.29"
3103,"Akron",2018,"6","8","75.00"
3103,"Akron",2019,"8","15","53.33"
3103,"Akron",2020,"7","15","46.67"
3104,"Alabama",1998,"13","21","61.90"
