"teamid","teamname","wtotal_games_per_team"
3101,"Abilene Chr",179
3102,"Air Force",641
3103,"Akron",674
3104,"Alabama",682
3105,"Alabama A&M",613
3106,"Alabama St",637
3107,"SUNY Albany",617
3108,"Alcorn St",650
3110,"American Univ",683
3111,"Appalachian St",674
3112,"Arizona",694
3113,"Arizona St",694
3114,"Ark Little Rock",626
3115,"Ark Pine Bluff",596
3116,"Arkansas",691
3117,"Arkansas St",689
3119,"Army",657
3120,"Auburn",680
3122,"Austin Peay",662
3123,"Ball St",676
3124,"Baylor",715
3125,"Belmont",641
3126,"Bethune-Cookman",633
3127,"Binghamton",555
3128,"Birmingham So",160
3129,"Boise St",677
3130,"Boston College",692
3131,"Boston Univ",686
3132,"Bowling Green",683
3133,"Bradley",663
3135,"Brown",622
3136,"Bryant",361
3137,"Bucknell",667
3138,"Buffalo",681
3139,"Butler",678
3140,"BYU",687
3141,"C Michigan",674
3142,"Cal Poly",651
3143,"California",695
3144,"Campbell",651
3145,"Canisius",687
3146,"Cent Arkansas",371
3147,"Centenary",312
3148,"Central Conn",658
3149,"Charleston So",608
3150,"Charlotte",679
3151,"Chattanooga",696
3152,"Chicago St",629
3153,"Cincinnati",680
3155,"Clemson",684
3156,"Cleveland St",667
3157,"Coastal Car",599
3158,"Col Charleston",653
3159,"Colgate",670
3160,"Colorado",679
3161,"Colorado St",670
3162,"Columbia",618
3163,"Connecticut",739
3164,"Coppin St",662
3165,"Cornell",609
3166,"Creighton",691
3167,"CS Bakersfield",367
3168,"CS Fullerton",669
3169,"CS Northridge",667
3170,"CS Sacramento",643
3171,"Dartmouth",633
3172,"Davidson",672
3173,"Dayton",681
3174,"Delaware",694
3175,"Delaware St",661
3176,"Denver",653
3177,"DePaul",710
3178,"Detroit",672
3179,"Drake",693
3180,"Drexel",691
3181,"Duke",709
3182,"Duquesne",685
3183,"E Illinois",647
3184,"E Kentucky",633
3185,"E Michigan",665
3186,"E Washington",645
3187,"East Carolina",678
3188,"SIUE",344
3189,"Elon",628
3190,"ETSU",668
3191,"Evansville",672
3192,"F Dickinson",658
3193,"Fairfield",690
3194,"FL Atlantic",652
3195,"FL Gulf Coast",398
3196,"Florida",689
3197,"Florida A&M",657
3198,"Florida Intl",680
3199,"Florida St",687
3200,"Fordham",685
3201,"Fresno St",692
3202,"Furman",661
3203,"G Washington",682
3204,"Ga Southern",668
3205,"Gardner Webb",544
3206,"George Mason",677
3207,"Georgetown",675
3208,"Georgia",696
3209,"Georgia St",667
3210,"Georgia Tech",685
3211,"Gonzaga",691
3212,"Grambling",644
3213,"Grand Canyon",185
3214,"Hampton",688
3216,"Hartford",694
3217,"Harvard",626
3218,"Hawaii",666
3219,"High Point",620
3220,"Hofstra",678
3221,"Holy Cross",697
3222,"Houston",678
3223,"Houston Bap",313
3224,"Howard",687
3225,"Idaho",670
3226,"Idaho St",638
3227,"IL Chicago",666
3228,"Illinois",683
3229,"Illinois St",675
3230,"Incarnate Word",177
3231,"Indiana",688
3232,"Indiana St",678
3233,"Iona",688
3234,"Iowa",687
3235,"Iowa St",698
3236,"PFW",496
3237,"IUPUI",631
3238,"Jackson St",632
3239,"Jacksonville",576
3240,"Jacksonville St",647
3241,"James Madison",704
3242,"Kansas",689
3243,"Kansas St",696
3244,"Kennesaw",435
3245,"Kent",672
3246,"Kentucky",689
3247,"La Salle",672
3248,"Lafayette",672
3249,"Lamar",618
3250,"Lehigh",674
3251,"Liberty",682
3252,"Lipscomb",546
3253,"Long Beach St",689
3254,"LIU Brooklyn",674
3255,"Longwood",464
3256,"Louisiana Tech",692
3257,"Louisville",711
3258,"Loy Marymount",679
3259,"Loyola MD",682
3260,"Loyola-Chicago",667
3261,"LSU",689
3262,"MA Lowell",199
3263,"Maine",681
3264,"Manhattan",684
3265,"Marist",705
3266,"Marquette",689
3267,"Marshall",658
3268,"Maryland",703
3269,"Massachusetts",674
3270,"McNeese St",631
3271,"MD E Shore",650
3272,"Memphis",682
3273,"Mercer",665
3274,"Miami FL",682
3275,"Miami OH",680
3276,"Michigan",687
3277,"Michigan St",689
3278,"Minnesota",683
3279,"Mississippi",680
3280,"Mississippi St",694
3281,"Missouri",683
3282,"Missouri KC",644
3283,"Missouri St",696
3284,"Monmouth NJ",686
3285,"Montana",659
3286,"Montana St",633
3287,"Morehead St",647
3288,"Morgan St",658
3289,"Morris Brown",24
3290,"MS Valley St",618
3291,"Mt St Mary's",664
3292,"MTSU",693
3293,"Murray St",638
3294,"N Colorado",462
3295,"N Dakota St",405
3296,"N Illinois",672
3297,"N Kentucky",237
3298,"Navy",676
3299,"NC A&T",654
3300,"NC Central",341
3301,"NC State",695
3303,"NE Omaha",213
3304,"Nebraska",693
3305,"Nevada",678
3306,"New Hampshire",663
3307,"New Mexico",698
3308,"New Mexico St",654
3309,"New Orleans",583
3310,"Niagara",682
3311,"Nicholls St",626
3312,"NJIT",396
3313,"Norfolk St",642
3314,"North Carolina",720
