"teamid","wloc","count"
3101,"H",52
3101,"A",49
3101,"N",15
3102,"H",65
3102,"N",6
3102,"A",35
3103,"A",96
3103,"H",149
3103,"N",17
3104,"H",182
3104,"N",60
3104,"A",89
3105,"N",11
3105,"H",129
3105,"A",87
3106,"H",172
3106,"A",101
3106,"N",18
3107,"N",19
3107,"H",159
3107,"A",130
3108,"N",13
3108,"H",157
3108,"A",99
3110,"H",212
3110,"N",21
3110,"A",142
3111,"A",123
3111,"H",153
3111,"N",17
3112,"H",208
3112,"N",31
3112,"A",112
3113,"H",275
3113,"N",33
3113,"A",144
3114,"N",24
3114,"A",129
3114,"H",207
3115,"A",40
3115,"H",80
3115,"N",6
3116,"A",107
3116,"N",40
3116,"H",245
3117,"N",20
3117,"A",124
3117,"H",224
3119,"N",6
3119,"A",143
3119,"H",203
3120,"N",82
3120,"H",187
3120,"A",126
3122,"A",118
3122,"N",18
3122,"H",157
3123,"H",200
3123,"N",25
3123,"A",151
3124,"N",66
3124,"A",177
3124,"H",344
3125,"H",205
3125,"N",26
3125,"A",169
3126,"N",21
3126,"H",142
3126,"A",106
3127,"A",97
3127,"N",11
3127,"H",128
3128,"A",27
3128,"H",38
3128,"N",5
3129,"H",209
3129,"N",32
3129,"A",128
3130,"N",34
3130,"A",121
3130,"H",224
3131,"H",175
3131,"A",134
3131,"N",23
3132,"A",164
3132,"H",181
3132,"N",62
3133,"A",103
3133,"N",46
3133,"H",134
3135,"N",14
3135,"H",127
3135,"A",98
3136,"A",66
3136,"H",95
3136,"N",4
3137,"N",11
3137,"H",213
3137,"A",157
3138,"N",23
3138,"H",174
3138,"A",137
3139,"A",124
3139,"H",185
3139,"N",24
3140,"H",246
3140,"A",180
3140,"N",35
3141,"A",117
3141,"H",177
3141,"N",43
3142,"A",114
3142,"N",3
3142,"H",182
3143,"H",232
3143,"N",35
3143,"A",123
3144,"A",127
3144,"H",189
3144,"N",14
3145,"N",11
3145,"H",160
3145,"A",121
3146,"N",19
3146,"H",100
3146,"A",79
3147,"H",21
3147,"A",8
3148,"N",6
3148,"H",140
3148,"A",96
3149,"N",7
3149,"H",123
3149,"A",75
3150,"A",137
3150,"H",228
3150,"N",26
3151,"H",254
3151,"N",53
3151,"A",200
3152,"N",10
3152,"A",50
3152,"H",86
3153,"N",19
3153,"H",247
3153,"A",98
3155,"H",188
3155,"A",97
3155,"N",18
3156,"H",179
3156,"A",113
3156,"N",10
3157,"A",103
3157,"N",21
3157,"H",153
3158,"A",90
3158,"N",11
3158,"H",135
3159,"H",130
3159,"N",11
3159,"A",77
3160,"N",20
3160,"A",89
3160,"H",234
3161,"N",16
3161,"A",123
3161,"H",235
3162,"N",4
3162,"H",126
3162,"A",79
3163,"H",380
3163,"A",265
3163,"N",50
3164,"N",50
3164,"H",133
3164,"A",119
3165,"H",140
3165,"A",99
3165,"N",7
3166,"A",156
3166,"H",182
3166,"N",78
3167,"H",103
3167,"N",10
3167,"A",72
3168,"N",8
3168,"A",76
3168,"H",122
3169,"A",104
3169,"H",158
3169,"N",9
3170,"A",63
3170,"H",109
3170,"N",7
3171,"A",136
3171,"N",6
3171,"H",157
3172,"N",20
3172,"A",144
3172,"H",167
3173,"N",51
3173,"A",150
3173,"H",207
3174,"A",176
3174,"N",40
3174,"H",226
3175,"N",19
3175,"A",88
3175,"H",143
3176,"N",15
3176,"A",101
3176,"H",189
3177,"H",287
3177,"A",170
3177,"N",43
3178,"A",105
3178,"H",146
3178,"N",11
3179,"N",39
3179,"A",158
3179,"H",248
3180,"A",153
3180,"N",33
3180,"H",212
3181,"A",198
3181,"N",47
3181,"H",331
3182,"H",216
3182,"A",161
3182,"N",20
3183,"A",93
3183,"N",17
3183,"H",149
3184,"N",28
3184,"H",142
3184,"A",113
3185,"H",182
3185,"N",24
3185,"A",148
3186,"N",16
3186,"H",156
3186,"A",101
3187,"H",202
3187,"A",99
3187,"N",37
3188,"H",81
3188,"N",10
3188,"A",54
3189,"A",114
3189,"N",20
3189,"H",156
3190,"A",130
3190,"N",13
3190,"H",180
3191,"N",17
3191,"A",89
3191,"H",153
3192,"H",136
3192,"N",6
3192,"A",86
3193,"A",154
3193,"N",21
3193,"H",204
3194,"H",166
3194,"N",7
3194,"A",85
3195,"A",127
3195,"H",180
3195,"N",29
3196,"A",115
3196,"H",233
3196,"N",34
3197,"N",47
3197,"H",135
3197,"A",109
3198,"A",99
3198,"N",27
3198,"H",200
3199,"H",247
3199,"A",159
3199,"N",42
3200,"N",20
3200,"A",91
3200,"H",175
3201,"N",40
3201,"A",155
3201,"H",226
3202,"N",17
3202,"A",120
3202,"H",184
3203,"A",150
3203,"H",256
3203,"N",31
3204,"A",116
3204,"N",15
3204,"H",146
3205,"H",140
3205,"A",83
3205,"N",13
3206,"A",101
3206,"H",180
3206,"N",13
3207,"N",26
3207,"A",120
3207,"H",185
3208,"A",164
3208,"H",285
3208,"N",40
3209,"N",15
3209,"A",115
3209,"H",183
3210,"H",243
3210,"N",38
3210,"A",121
3211,"A",178
3211,"N",47
3211,"H",248
3212,"N",16
3212,"A",119
3212,"H",166
3213,"N",13
3213,"A",34
3213,"H",44
3214,"A",165
3214,"N",55
3214,"H",203
3216,"N",24
3216,"H",215
3216,"A",150
3217,"A",169
3217,"N",21
3217,"H",203
3218,"A",104
3218,"N",15
3218,"H",233
3219,"A",123
3219,"N",14
3219,"H",183
3220,"H",165
3220,"A",127
3220,"N",19
3221,"H",213
3221,"N",20
3221,"A",157
3222,"A",114
3222,"H",174
3222,"N",25
3223,"A",26
3223,"H",36
3223,"N",4
3224,"N",22
3224,"H",177
3224,"A",129
3225,"H",173
3225,"A",123
3225,"N",31
3226,"H",173
3226,"A",130
3226,"N",30
3227,"H",156
3227,"N",5
3227,"A",102
3228,"N",22
3228,"A",97
3228,"H",195
3229,"H",175
3229,"N",21
3229,"A",121
3230,"A",15
3230,"N",2
3230,"H",18
3231,"H",214
3231,"A",119
3231,"N",25
3232,"N",21
3232,"A",137
3232,"H",192
3233,"N",13
3233,"H",154
3233,"A",127
3234,"A",130
3234,"H",264
3234,"N",44
3235,"H",307
3235,"A",122
3235,"N",37
3236,"A",43
3236,"H",94
3236,"N",9
3237,"A",103
3237,"N",25
3237,"H",164
3238,"N",19
3238,"A",123
3238,"H",165
3239,"A",92
3239,"H",155
3239,"N",13
3240,"A",92
3240,"N",11
3240,"H",146
3241,"N",33
3241,"A",184
3241,"H",286
3242,"A",76
3242,"H",226
3242,"N",23
3243,"H",249
3243,"N",33
3243,"A",137
3244,"H",93
3244,"A",58
3244,"N",6
3245,"A",129
3245,"H",214
3245,"N",20
3246,"A",122
3246,"H",259
3246,"N",41
3247,"A",106
3247,"N",23
3247,"H",144
3248,"H",117
3248,"A",73
3248,"N",5
3249,"H",172
3249,"A",103
3249,"N",12
3250,"A",147
3250,"H",207
3250,"N",9
3251,"N",43
3251,"A",201
3251,"H",252
3252,"A",49
3252,"N",7
3252,"H",93
3253,"H",198
3253,"N",18
3253,"A",116
3254,"A",116
3254,"N",8
3254,"H",158
3255,"N",8
3255,"H",81
3255,"A",41
3256,"N",35
3256,"H",257
3256,"A",175
3257,"H",245
3257,"N",97
3257,"A",177
3258,"N",20
3258,"A",116
3258,"H",175
3259,"H",168
3259,"A",120
3259,"N",12
3260,"A",84
3260,"N",9
3260,"H",122
3261,"N",48
3261,"A",144
3261,"H",282
3262,"H",27
3262,"N",2
3262,"A",19
3263,"N",35
3263,"H",189
3263,"A",137
3264,"N",14
3264,"A",116
3264,"H",166
3265,"H",222
3265,"A",184
3265,"N",51
3266,"N",32
3266,"H",250
3266,"A",146
3267,"N",23
3267,"H",155
3267,"A",96
3268,"H",294
3268,"A",172
3268,"N",47
3269,"H",161
3269,"N",16
3269,"A",93
3270,"N",14
3270,"H",143
3270,"A",96
3271,"H",144
3271,"A",100
3271,"N",19
3272,"A",98
3272,"H",214
3272,"N",20
3273,"N",18
3273,"H",160
3273,"A",128
3274,"A",110
3274,"H",274
3274,"N",26
3275,"H",178
3275,"A",131
3275,"N",23
3276,"N",29
3276,"A",123
3276,"H",227
3277,"N",37
3277,"H",261
3277,"A",148
3278,"H",239
3278,"N",26
3278,"A",119
3279,"A",74
3279,"H",204
3279,"N",32
3280,"H",260
3280,"A",137
3280,"N",50
3281,"A",99
3281,"N",30
3281,"H",234
3282,"A",86
3282,"N",21
3282,"H",133
3283,"A",150
3283,"N",28
3283,"H",261
3284,"A",135
3284,"H",146
3284,"N",57
3285,"N",24
3285,"H",254
3285,"A",146
3286,"A",133
3286,"N",23
3286,"H",176
3287,"H",153
3287,"A",117
3287,"N",9
3288,"N",17
3288,"A",96
3288,"H",123
3289,"H",1
3290,"N",14
3290,"H",96
3290,"A",68
3291,"H",162
3291,"A",123
3291,"N",4
3292,"H",259
3292,"N",39
3292,"A",197
3293,"N",14
3293,"H",158
3293,"A",95
3294,"A",97
3294,"N",17
3294,"H",122
3295,"H",82
3295,"A",43
3295,"N",13
3296,"N",17
3296,"A",104
3296,"H",161
3297,"A",41
3297,"N",10
3297,"H",62
3298,"N",8
3298,"H",212
3298,"A",127
3299,"A",131
3299,"H",163
3299,"N",27
3300,"A",25
3300,"N",6
3300,"H",54
3301,"A",132
3301,"N",42
3301,"H",266
3303,"N",23
3303,"A",22
3303,"H",33
3304,"A",118
3304,"H",269
3304,"N",25
3305,"N",15
3305,"H",191
3305,"A",79
3306,"H",165
3306,"A",116
3306,"N",14
3307,"A",125
3307,"H",286
3307,"N",31
3308,"H",184
3308,"N",22
3308,"A",101
3309,"A",72
3309,"H",122
3309,"N",4
3310,"N",12
3310,"A",96
3310,"H",148
3311,"A",73
3311,"N",14
3311,"H",130
3312,"N",9
3312,"H",64
3312,"A",33
3313,"A",99
3313,"H",121
3313,"N",18
3314,"A",129
3314,"H",338
3314,"N",49
3315,"H",89
3315,"A",67
3315,"N",12
3316,"H",97
3316,"N",9
3316,"A",47
3317,"A",96
3317,"N",21
3317,"H",167
3318,"A",107
3318,"N",14
3318,"H",166
3319,"N",11
3319,"H",168
3319,"A",95
3320,"H",214
3320,"A",146
3320,"N",34
